
nazi scum
nazi brainrot
conservatives are shit
threats to democracy
Reactionary
Regressive
Xenophobic
racist
antisemite
antisemitism
xenophobia
racism
antisemitism
Climate change deniers
bigot
stone age
trad nonsense
pagan brainrot
pagan retard
christian brainrot
intolerant
intolerance
mansplain
mansplaining
love is love
chauvinism
I love jews
I love feminists
I love trans
trans rights
I’m gay
I’m trans
I’m feminist
I’m a feminist
im gay
im trans
im feminist
im a feminist
im a trans
as a trans
